Anonymous Customer ID,Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Churn,Customer Value
149,0,0,7,0,4330,37,210,8,3,1,1,0,192.9
150,0,0,7,0,1428,16,0,5,3,1,1,1,42.84
151,9,0,42,1,4450,73,15,21,3,1,1,0,138
152,1,1,43,0,398,7,17,8,3,1,2,1,17.04
153,11,0,41,1,2533,62,369,28,3,1,1,0,186.69
154,11,0,42,1,4278,68,11,39,1,1,1,0,263.28
155,4,0,42,1,2473,60,12,37,2,1,1,0,116.685
156,12,0,42,2,3855,84,42,32,3,1,1,0,128.25
157,5,0,42,1,2440,41,295,22,3,1,1,0,161.7
158,14,0,41,3,9195,123,154,47,3,1,1,0,322.05
159,8,0,42,1,13853,171,10,48,3,1,1,0,418.59
160,8,0,42,2,4595,85,12,29,3,1,1,0,141.45
161,7,0,42,1,5998,97,17,16,3,1,1,0,185.04
162,10,0,42,0,2318,56,18,21,3,1,2,0,74.94
163,26,0,42,4,15220,227,64,36,3,2,1,0,475.8
164,5,0,42,2,3175,29,493,12,3,1,1,0,243.15
165,10,0,41,1,15565,184,160,34,2,1,1,0,772.425
166,4,0,41,2,6580,88,196,30,3,1,1,0,256.2
167,1,0,41,0,955,16,10,15,2,1,2,0,47.475
168,3,0,42,0,790,16,23,12,3,1,2,0,30.6
169,1,0,41,0,80,2,10,4,2,1,2,1,8.1
170,4,0,41,1,7588,129,394,47,3,1,1,0,345.84
171,8,0,41,2,11545,156,21,51,4,1,1,0,176.325
172,9,0,41,2,6798,77,118,41,2,1,1,0,359.01
173,24,1,37,0,1035,49,26,21,3,1,2,1,38.85
174,22,1,40,9,10515,95,11,46,5,1,1,0,53.125
175,14,0,40,2,5898,100,36,28,2,1,1,1,281.61
176,2,0,38,1,2920,24,10,18,3,1,1,0,90.6
177,10,0,39,0,3070,43,19,20,3,1,2,1,97.8
178,10,1,40,0,2348,46,44,35,3,1,2,1,83.64
179,1,0,40,0,213,4,10,6,3,1,2,1,9.39
180,2,0,40,1,1748,27,10,10,4,1,1,0,27.72
181,4,0,37,2,6865,99,24,26,5,1,1,0,35.525
182,1,1,40,0,708,9,19,8,4,1,2,1,13.47
183,1,0,40,2,418,6,14,6,5,1,1,0,2.79
184,26,0,35,4,16155,240,10,84,2,1,1,0,731.475
185,7,1,38,4,7045,118,281,37,2,2,1,0,443.475
186,3,0,40,1,3798,84,12,32,3,1,1,0,117.54
187,4,0,39,0,1745,46,48,24,3,1,2,0,66.75
188,7,0,40,1,2860,55,185,27,2,1,1,0,211.95
189,5,0,31,2,1395,38,203,15,2,2,1,0,154.125
190,5,0,30,1,1648,41,40,72,4,1,1,0,30.72
191,12,0,31,0,780,27,20,11,3,1,2,0,29.4
192,1,0,30,0,905,12,31,7,4,1,2,0,18.225
193,11,0,29,1,1305,34,29,17,2,1,1,0,71.775
194,3,0,29,1,3305,63,18,27,3,1,1,0,104.55
195,3,0,22,1,1775,28,38,18,2,1,1,0,96.975
196,17,0,21,2,6473,143,95,46,2,2,1,0,334.035
197,13,0,19,1,9013,173,83,44,5,1,1,0,49.215
198,9,0,20,4,2933,47,41,23,3,1,1,0,100.29
199,3,0,13,2,4470,42,225,14,3,1,1,0,201.6
200,4,0,13,2,1568,21,10,11,3,1,1,1,50.04
201,7,0,34,0,4290,69,0,13,2,1,1,0,193.05
202,0,0,35,0,0,0,0,0,2,1,2,0,0
203,9,0,33,0,2373,58,349,20,2,1,1,0,263.835
204,9,0,34,0,4118,64,0,31,1,1,1,0,247.08
205,2,0,34,0,2313,56,0,29,1,1,1,0,138.78
206,10,0,34,0,3695,80,22,24,3,1,1,0,117.45
207,3,0,34,0,2280,37,275,14,3,1,1,0,150.9
208,12,0,33,1,9035,119,134,39,3,1,1,0,311.25
209,6,0,34,0,13693,167,0,40,3,1,1,0,410.79
210,6,0,34,0,4435,81,0,21,3,1,1,0,133.05
211,5,0,34,0,5838,93,0,8,2,1,1,0,262.71
212,8,0,34,0,2158,52,0,13,3,1,2,0,64.74
213,24,0,34,2,15060,223,44,28,3,1,1,0,465
214,3,0,34,0,3015,25,473,4,3,1,1,0,232.35
215,8,0,33,0,15405,180,140,26,2,1,1,0,756.225
216,2,0,33,0,6420,84,176,22,3,1,1,0,245.4
217,0,0,33,0,795,12,0,7,2,1,2,0,35.775
218,1,0,34,0,630,12,3,4,2,1,2,0,29.7
219,0,0,33,0,0,0,0,0,2,1,2,1,0
220,2,0,33,0,7428,125,374,39,2,1,1,0,502.56
221,6,0,33,0,11385,152,1,43,3,1,1,0,341.85
222,7,0,33,0,6638,73,98,33,2,1,1,0,342.81
223,22,0,29,0,875,45,6,13,2,1,2,1,42.075
224,20,0,32,7,10355,91,0,38,4,1,1,0,155.325
225,12,1,32,0,5738,96,16,20,2,1,1,1,265.41
226,0,0,30,0,2760,20,0,10,3,1,1,0,82.8
227,8,1,31,0,2910,39,0,12,3,1,2,1,87.3
228,8,0,32,0,2188,42,24,27,3,1,2,1,72.84
229,0,1,32,0,0,0,0,0,3,1,2,1,0
230,0,0,32,0,1588,23,0,2,3,1,1,0,47.64
231,2,0,29,0,6705,95,4,18,4,1,1,0,101.175
232,0,0,32,0,0,0,0,0,4,1,2,1,0
233,0,0,32,0,0,0,0,0,5,1,1,0,0
234,24,0,27,2,15995,236,0,76,2,1,1,0,719.775
235,5,0,30,2,6885,114,261,29,2,2,1,0,427.275
236,1,0,32,0,3638,80,0,24,2,1,1,0,163.71
237,2,0,31,0,1585,42,28,16,3,1,2,0,55.95
238,5,0,32,0,2700,51,165,19,2,1,1,0,195.75
239,3,0,23,0,1235,34,183,7,2,2,1,0,137.925
240,3,0,22,0,1488,37,20,64,4,1,1,0,25.32
241,10,0,23,0,620,23,0,3,2,1,2,0,27.9
242,0,0,22,0,0,0,11,0,4,1,2,0,1.65
243,9,0,21,0,1145,30,9,9,2,1,1,0,55.575
244,1,0,21,0,3145,59,0,19,3,1,1,0,94.35
245,1,0,14,0,1615,24,18,10,2,1,1,0,80.775
246,15,0,13,0,6313,139,75,38,1,2,1,0,423.78
247,11,0,11,0,8853,169,63,36,4,1,1,0,142.245
248,7,0,12,2,2773,43,21,15,3,1,1,0,89.49
249,1,0,5,0,4310,38,205,6,3,1,1,0,190.8
250,2,0,5,0,1408,17,0,3,3,1,1,1,42.24
251,13,0,44,1,4630,81,20,23,3,1,1,0,144.9
252,5,0,45,0,578,15,22,10,3,1,2,0,23.94
253,15,0,43,1,2713,70,374,30,3,1,1,0,193.59
254,15,0,44,1,4458,76,16,41,1,1,1,0,277.08
255,8,0,44,1,2653,68,17,39,2,1,1,0,127.035
256,16,0,44,2,4035,92,47,34,3,1,1,0,135.15
257,9,0,44,1,2620,49,300,24,3,1,1,0,168.6
258,18,0,43,3,9375,131,159,49,3,1,1,0,328.95
259,12,0,44,1,14033,179,15,50,3,1,1,0,425.49
260,12,0,44,2,4775,93,17,31,3,1,1,0,148.35
261,11,0,44,1,6178,105,22,18,3,1,1,0,191.94
262,14,1,44,0,2498,64,23,23,3,1,2,0,81.84
263,30,0,44,4,15400,235,69,38,3,1,1,0,482.7
264,9,0,44,2,3355,37,498,14,3,1,1,0,250.05
265,14,0,43,1,15745,192,165,36,2,1,1,0,782.775
266,8,0,43,2,6760,96,201,32,3,1,1,0,263.1
267,5,0,43,0,1135,24,15,17,2,1,2,0,57.825
268,7,0,44,0,970,24,28,14,3,1,2,0,37.5
269,5,0,43,0,260,10,15,6,2,1,2,1,18.45
270,8,0,43,1,7768,137,399,49,3,1,1,0,352.74
271,12,0,43,2,11725,164,26,53,4,1,1,0,179.775
272,13,0,43,2,6978,85,123,43,2,1,1,0,369.36
273,28,1,39,0,1215,57,31,23,3,1,2,1,45.75
274,26,0,42,9,10695,103,16,48,5,2,1,0,54.275
275,18,0,42,2,6078,108,41,30,2,1,1,0,291.96
276,6,0,40,1,3100,32,15,20,3,1,1,0,97.5
277,14,1,41,0,3250,51,24,22,3,1,2,1,104.7
278,14,1,42,0,2528,54,49,37,4,1,2,1,45.27
279,5,0,42,0,393,12,15,8,3,1,2,1,16.29
280,6,0,42,1,1928,35,15,12,4,1,1,0,31.17
281,8,0,39,2,7045,107,29,28,5,1,1,0,36.675
282,5,0,42,0,888,17,24,10,4,1,2,1,16.92
283,5,0,42,2,598,14,19,8,5,1,1,0,3.94
284,30,1,37,4,16335,248,15,86,2,1,1,0,741.825
285,11,1,40,4,7225,126,286,39,3,2,1,0,302.55
286,7,0,42,1,3978,92,17,34,3,1,1,0,124.44
287,8,0,41,0,1925,54,53,26,3,1,2,0,73.65
288,11,0,42,1,3040,63,190,29,2,1,1,0,222.3
289,9,0,33,2,1575,46,208,17,3,2,1,0,109.65
290,9,0,32,1,1828,49,45,74,5,1,1,0,11.39
291,16,0,33,0,960,35,25,13,3,1,2,0,36.3
292,5,0,32,0,1085,20,36,9,4,1,2,0,21.675
293,15,0,31,1,1485,42,34,19,2,1,1,0,82.125
294,7,0,31,1,3485,71,23,29,3,1,1,0,111.45
295,7,0,24,1,1955,36,43,20,3,1,1,0,71.55
296,21,0,23,2,6653,151,100,48,2,2,1,0,344.385
297,17,0,21,1,9193,181,88,46,5,1,1,0,50.365
298,13,0,22,4,3113,55,46,25,3,1,1,0,107.19
299,7,0,15,2,4650,50,230,16,3,1,1,0,208.5
300,8,1,15,2,1748,29,15,13,3,1,1,1,56.94
301,3,0,32,0,4110,61,0,11,2,1,1,0,184.95
302,0,0,33,0,0,0,0,0,2,1,2,0,0
303,5,0,31,0,2193,50,344,18,2,1,1,0,253.485
304,5,0,32,0,3938,56,0,29,1,1,1,0,236.28
305,0,0,32,0,2133,48,0,27,1,1,1,0,127.98
306,6,0,32,0,3515,72,17,22,2,1,1,0,165.825
307,0,0,32,0,2100,29,270,12,3,1,1,0,144
308,8,0,31,1,8855,111,129,37,3,1,1,0,304.35
309,2,0,32,0,13513,159,0,38,3,1,1,0,405.39
310,2,0,32,0,4255,73,0,19,3,1,1,0,127.65
311,1,0,32,0,5658,85,0,6,2,1,1,0,254.61
312,4,0,32,0,1978,44,0,11,3,1,2,0,59.34
313,20,0,32,2,14880,215,39,26,3,1,1,0,458.1
314,0,0,32,0,2835,17,468,2,3,1,1,0,225.45
315,4,0,31,0,15225,172,135,24,2,1,1,0,745.875
316,0,0,31,0,6240,76,171,20,3,1,1,0,238.5
317,0,0,31,0,615,4,0,5,2,1,2,0,27.675
318,0,0,32,0,450,4,0,2,2,1,2,0,20.25
319,0,0,31,0,0,0,0,0,2,1,2,1,0
320,0,0,31,0,7248,117,369,37,2,1,1,0,492.21
321,2,0,31,0,11205,144,0,41,3,1,1,0,336.15
322,3,0,31,0,6458,65,93,31,2,1,1,0,332.46
323,18,1,27,0,695,37,1,11,2,1,2,1,31.725
324,16,0,30,7,10175,83,0,36,4,1,1,0,152.625
325,8,1,30,0,5558,88,11,18,2,1,1,1,255.06
326,0,0,28,0,2580,12,0,8,3,1,1,0,77.4
327,4,0,29,0,2730,31,0,10,2,1,2,1,122.85
328,4,1,30,0,2008,34,19,25,3,1,2,1,65.94
329,0,0,30,0,0,0,0,0,3,1,2,1,0
330,0,0,30,0,0,0,0,0,3,1,1,0,0
331,0,0,27,0,6525,87,0,16,4,1,1,0,97.875
332,0,1,30,0,0,0,0,0,4,1,2,1,0
333,0,1,30,0,0,0,0,0,5,1,1,1,0
334,20,0,25,2,15815,228,0,74,2,1,1,0,711.675
335,1,0,28,2,6705,106,256,27,2,2,1,0,416.925
336,0,0,30,0,3458,72,0,22,2,1,1,0,155.61
337,0,0,29,0,1405,34,23,14,3,1,2,0,49.05
338,1,0,30,0,2520,43,160,17,2,1,1,0,185.4
339,0,0,21,0,1055,26,178,5,2,2,1,0,127.575
340,0,0,20,0,1308,29,15,62,4,1,1,0,21.87
341,6,0,21,0,440,15,0,1,2,1,2,0,19.8
342,0,0,20,0,0,0,6,0,4,1,2,0,0.9
343,5,0,19,0,965,22,4,7,2,1,1,0,45.225
344,0,0,19,0,2965,51,0,17,3,1,1,0,88.95
345,0,0,12,0,1435,16,13,8,2,1,1,0,70.425
346,11,0,11,0,6133,131,70,36,1,2,1,0,409.98
347,7,0,9,0,8673,161,58,34,4,1,1,0,138.795
348,3,0,10,2,2593,35,16,13,3,1,1,0,82.59
349,0,0,3,0,4130,30,200,4,3,1,1,0,183.9
350,0,1,3,0,1228,9,0,1,2,1,1,1,55.26
351,10,0,41,0,4550,79,16,22,3,1,1,0,141.3
352,2,0,42,0,498,13,18,9,2,1,2,0,30.51
353,12,0,40,0,2633,68,370,29,3,1,1,0,189.99
354,12,0,41,0,4378,74,12,40,1,1,1,0,269.88
355,5,0,41,0,2573,66,13,38,1,1,1,0,162.18
356,13,0,41,1,3955,90,43,33,3,1,1,0,131.55
357,6,0,41,0,2540,47,296,23,3,1,1,0,165
358,15,0,40,2,9295,129,155,48,3,1,1,0,325.35
359,9,0,41,0,13953,177,11,49,3,1,1,0,421.89
360,9,0,41,1,4695,91,13,30,3,1,1,0,144.75
361,8,0,41,0,6098,103,18,17,3,1,1,0,188.34
362,11,0,41,0,2418,62,19,22,3,1,2,0,78.24
363,27,0,41,3,15320,233,65,37,3,1,1,0,479.1
364,6,0,41,1,3275,35,494,13,3,1,1,0,246.45
365,11,0,40,0,15665,190,161,35,2,1,1,0,777.375
366,5,0,40,1,6680,94,197,31,3,1,1,0,259.5
367,2,0,40,0,1055,22,11,16,2,1,2,0,52.425
368,4,0,41,0,890,22,24,13,3,1,2,0,33.9
369,2,0,40,0,180,8,11,5,2,1,2,1,13.05
370,5,0,40,0,7688,135,395,48,2,1,1,0,523.71
371,9,0,40,1,11645,162,22,52,4,1,1,0,177.975
372,10,0,40,1,6898,83,119,42,2,1,1,0,363.96
373,25,1,36,0,1135,55,27,22,2,1,2,1,63.225
374,23,0,39,8,10615,101,12,47,5,1,1,0,53.675
375,15,0,39,1,5998,106,37,29,2,1,1,0,286.56
376,3,0,37,0,3020,30,11,19,3,1,1,0,93.9
377,11,1,38,0,3170,49,20,21,3,1,2,1,101.1
378,11,1,39,0,2448,52,45,36,3,1,2,1,86.94
379,2,1,39,0,313,10,11,7,3,1,2,1,12.69
380,3,0,39,0,1848,33,11,11,3,1,1,0,58.74
381,5,0,36,1,6965,105,25,27,5,1,1,0,36.075
382,2,0,39,0,808,15,20,9,4,1,2,1,15.12
383,2,0,39,1,518,12,15,7,5,1,1,0,3.34
384,27,1,34,3,16255,246,11,85,2,1,1,0,736.425
385,8,0,37,3,7145,124,282,38,2,2,1,0,448.425
386,4,0,39,0,3898,90,13,33,2,1,1,0,181.26
387,5,0,38,0,1845,52,49,25,3,1,2,0,70.05
388,8,0,39,0,2960,61,186,28,2,1,1,0,216.9
389,6,1,30,1,1495,44,204,16,2,2,1,1,159.075
390,6,0,29,0,1748,47,41,73,4,1,1,0,32.37
391,13,0,30,0,880,33,21,12,2,1,2,0,49.05
392,2,0,29,0,1005,18,32,8,4,1,2,0,19.875
393,12,0,28,0,1405,40,30,18,2,1,1,0,76.725
394,4,0,28,0,3405,69,19,28,3,1,1,0,107.85
395,4,0,21,0,1875,34,39,19,2,1,1,0,101.925
396,18,0,20,1,6573,149,96,47,2,2,1,0,338.985
397,14,0,18,0,9113,179,84,45,4,1,1,0,149.295
398,10,0,19,3,3033,53,42,24,3,1,1,0,103.59
399,4,0,12,1,4570,48,226,15,3,1,1,0,204.9
400,5,0,12,1,1668,27,11,12,3,1,1,1,53.34
401,6,0,35,0,4190,63,0,12,3,1,1,0,125.7
402,0,0,36,0,0,0,0,0,2,1,2,0,0
403,8,0,34,0,2273,52,348,19,3,1,1,0,172.59
404,8,0,35,0,4018,58,0,30,1,1,1,0,241.08
405,1,0,35,0,2213,50,0,28,1,1,1,0,132.78
406,9,0,35,1,3595,74,21,23,3,1,1,0,114.15
407,2,0,35,0,2180,31,274,13,3,1,1,0,147.6
408,11,0,34,2,8935,113,133,38,3,1,1,0,307.95
409,5,0,35,0,13593,161,0,39,3,1,1,0,407.79
410,5,0,35,1,4335,75,0,20,3,1,1,0,130.05
411,4,0,35,0,5738,87,0,7,3,1,1,0,172.14
412,7,0,35,0,2058,46,0,12,3,1,2,0,61.74
413,23,0,35,3,14960,217,43,27,3,1,1,0,461.7
414,2,0,35,1,2915,19,472,3,3,1,1,0,229.05
415,7,0,34,0,15305,174,139,25,2,1,1,0,751.275
416,1,0,34,1,6320,78,175,21,3,1,1,0,242.1
417,0,0,34,0,695,6,0,6,2,1,2,0,31.275
418,0,0,35,0,530,6,2,3,3,1,2,0,16.5
419,0,1,34,0,0,0,0,0,2,1,2,1,0
420,1,0,34,0,7328,119,373,38,2,1,1,0,497.61
421,5,0,34,1,11285,146,0,42,4,1,1,0,169.275
422,6,0,34,1,6538,67,97,32,2,1,1,0,337.86
423,21,1,30,0,775,39,5,12,2,1,2,1,37.125
424,19,0,33,8,10255,85,0,37,5,1,1,0,51.275
425,11,1,33,1,5638,90,15,19,2,1,1,1,260.46
426,0,0,31,0,2660,14,0,9,3,1,1,0,79.8
427,7,0,32,0,2810,33,0,11,3,1,2,1,84.3
428,7,1,33,0,2088,36,23,26,3,1,2,1,69.54
429,0,0,33,0,0,0,0,0,3,1,2,1,0
430,0,0,33,0,1488,17,0,1,3,1,1,0,44.64
431,1,0,30,1,6605,89,3,17,5,1,1,0,33.175
432,0,0,33,0,0,0,0,0,4,1,2,1,0
433,0,0,33,0,0,0,0,0,5,1,1,0,0
434,23,0,28,3,15895,230,0,75,2,1,1,0,715.275
435,4,0,31,3,6785,108,260,28,2,2,1,0,422.325
436,0,0,33,0,3538,74,0,23,2,1,1,0,159.21
437,1,0,32,0,1485,36,27,15,3,1,2,0,52.65
438,4,0,33,0,2600,45,164,18,2,1,1,0,190.8
439,2,0,24,1,1135,28,182,6,2,2,1,0,132.975
440,2,0,23,0,1388,31,19,63,4,1,1,0,23.67
441,9,0,24,0,520,17,0,2,2,1,2,0,23.4
442,0,0,23,0,0,0,10,0,4,1,2,0,1.5
443,8,0,22,0,1045,24,8,8,2,1,1,0,50.625
444,0,0,22,0,3045,53,0,18,3,1,1,0,91.35
445,0,0,15,0,1515,18,17,9,2,1,1,0,75.825
446,14,0,14,1,6213,133,74,37,2,2,1,0,312.885
447,10,0,12,0,8753,163,62,35,4,1,1,0,140.595
448,6,0,13,3,2673,37,20,14,3,1,1,0,86.19
449,0,0,6,1,4210,32,204,5,3,1,1,0,187.5
